Manufacturer,Model,Month,Year,Km,Kw,Ps,Price,state,engine,Benz
Mercedes-Benz1,"""GLE""",3,2016,35800,270,367,69695,0,1,yes
Mercedes-Benz2,"""V""",11,2017,9999,140,190,63589,0,0,yes
Mercedes-Benz3,"""C""",4,2017,9060,350,476,60490,0,1,yes
Mercedes-Benz4,"""GLC""",4,2016,10412,155,211,60500,0,1,yes
Mercedes-Benz5,"""E""",2,2018,3000,143,194,60678,0,0,yes
Mercedes-Benz6,"""GLS""",8,2017,21566,190,258,71990,0,0,yes
Mercedes-Benz7,"""S""",4,2017,26900,190,258,68790,0,0,yes
Mercedes-Benz8,"""GLS""",8,2017,19971,190,258,79990,0,0,yes
Mercedes-Benz9,"""GLE""",5,2015,33500,190,258,60880,0,0,yes
Mercedes-Benz10,"""C""",3,2017,29440,350,476,60889,0,1,yes
Mercedes-Benz11,"""C""",5,2017,22174,350,476,60900,0,1,yes
Mercedes-Benz12,"""S""",2,2015,54000,190,258,60900,0,0,yes
Mercedes-Benz13,"""S""",5,2015,38000,190,258,60950,0,0,yes
Mercedes-Benz14,"""C""",5,2017,15618,270,367,60989,0,1,yes
Mercedes-Benz15,"""V""",6,2017,9600,140,190,60990,0,0,yes
Mercedes-Benz16,"""V""",1,2017,20000,140,190,60990,0,0,yes
Mercedes-Benz17,"""E""",4,2017,5900,180,245,60990,0,0,yes
Mercedes-Benz18,"""GLE""",1,2018,3001,150,204,61250,0,0,yes
Mercedes-Benz19,"""GLC""",2,2018,2001,190,258,61500,0,0,yes
Mercedes-Benz20,"""V""",6,2017,13017,140,190,61821,0,0,yes
Mercedes-Benz21,"""GLC""",9,2017,9900,180,245,61899,0,0,yes
Mercedes-Benz22,"""V""",4,2017,10804,140,190,61960,0,0,yes
Mercedes-Benz23,"""GLC""",8,2017,9875,190,258,61970,0,0,yes
Mercedes-Benz24,"""S""",8,2016,43500,190,258,61990,0,0,yes
Mercedes-Benz25,"""C""",3,2017,4246,270,367,62480,0,1,yes
Mercedes-Benz26,"""C""",12,2017,3000,270,367,66930,0,1,yes
Mercedes-Benz27,"""S""",6,2015,19714,185,252,68949,0,0,yes
Mercedes-Benz28,"""G""",2,2014,40322,456,620,157989,0,1,yes
Mercedes-Benz29,"""GT""",7,2017,5892,350,476,111111,0,1,yes
Mercedes-Benz30,"""S""",9,1964,90950,110,150,74500,0,1,yes
Mercedes-Benz31,"""S""",11,2017,8000,270,367,96800,0,0,yes
Mercedes-Benz32,"""S""",NA,2018,20,345,469,151890,1,1,yes
Mercedes-Benz33,"""S""",9,2016,31100,190,258,69900,0,0,yes
Mercedes-Benz34,"""AMG""",4,2017,9060,350,476,60490,0,1,yes
Mercedes-Benz35,"""AMG""",1,2015,27000,375,510,129000,0,1,yes
Mercedes-Benz36,"""GLE""",NA,2018,0,287,390,90565,1,1,yes
Mercedes-Benz37,"""GLE""",4,2016,32800,270,367,76500,0,1,yes
Mercedes-Benz38,"""E""",1,2018,9500,155,211,61820,0,0,yes
Mercedes-Benz39,"""V""",NA,2018,100,140,190,165000,1,0,yes
Mercedes-Benz40,"""GT""",9,2015,8900,463,630,124900,0,1,yes
Mercedes-Benz41,"""S""",12,2016,19986,190,258,70900,0,0,yes
Mercedes-Benz42,"""GLE""",NA,2018,0,190,258,88691,1,0,yes
Mercedes-Benz43,"""GLE""",9,2017,3388,410,557,107770,0,1,yes
Mercedes-Benz44,"""S""",9,2015,42800,430,585,113705,0,1,yes
Mercedes-Benz45,"""S""",2,2017,8060,335,455,92750,0,1,yes
Mercedes-Benz46,"""S""",8,2015,40566,335,455,71900,0,1,yes
Mercedes-Benz47,"""220""",7,1954,7500,63,86,155000,0,1,yes
Mercedes-Benz48,"""V""",8,2016,28570,140,190,61890,0,0,yes
Mercedes-Benz49,"""SL""",3,2014,19999,245,333,66890,0,1,yes
Mercedes-Benz50,"""SLR""",5,2007,28600,460,625,399800,0,1,yes
Mercedes-Benz51,"""GLC""",NA,2018,30,375,510,127330,1,1,yes
Mercedes-Benz52,"""G""",3,2015,22800,155,211,73900,0,0,yes
Mercedes-Benz53,"""S""",NA,NA,100,335,455,230000,1,1,yes
Mercedes-Benz54,"""GLE""",7,2017,16073,190,258,64780,0,0,yes
Mercedes-Benz55,"""V""",3,2018,3001,140,190,66520,0,0,yes
Mercedes-Benz56,"""S""",10,2014,43102,390,530,84950,0,1,yes
Mercedes-Benz57,"""S""",7,2017,21000,335,455,113633,0,1,yes
Mercedes-Benz58,"""519""",NA,2018,0,140,190,278480,1,0,yes
Mercedes-Benz59,"""C""",11,2016,9800,375,510,76250,0,1,yes
Mercedes-Benz60,"""V""",9,2017,8000,140,190,78421,0,0,yes
Mercedes-Benz61,"""SL""",9,1957,38500,158,215,995000,0,1,yes
Mercedes-Benz62,"""GLC""",NA,2018,20,155,211,74990,1,0,yes
Mercedes-Benz63,"""C""",1,2018,4900,350,476,79790,0,1,yes
Mercedes-Benz64,"""GLE""",1,2018,4025,190,258,71900,0,0,yes
Mercedes-Benz65,"""GLC""",11,2017,6000,155,211,60000,0,0,yes
Mercedes-Benz66,"""GLC""",11,2017,10,155,211,60000,1,0,yes
Mercedes-Benz67,"""V""",7,2017,18565,140,190,60000,0,0,yes
Mercedes-Benz68,"""GLC""",7,2017,17900,190,258,64888,0,0,yes
Mercedes-Benz69,"""C""",4,2017,13599,375,510,71980,0,1,yes
Mercedes-Benz70,"""S""",2,2014,114000,335,455,62990,0,1,yes
Mercedes-Benz71,"""S""",6,2015,69000,190,258,60000,0,0,yes
Mercedes-Benz72,"""V""",NA,2018,38,140,190,60000,1,0,yes
Mercedes-Benz73,"""SL""",7,1987,64100,170,231,60000,0,1,yes
Mercedes-Benz74,"""V""",6,2017,25000,140,190,60000,0,0,yes
Mercedes-Benz75,"""S""",2,2011,0,200,272,60000,1,1,yes
Mercedes-Benz76,"""V""",6,2017,38000,140,190,60016,0,0,yes
Mercedes-Benz77,"""V""",12,2017,3001,140,190,60094,0,0,yes
Mercedes-Benz78,"""E""",3,2018,5000,143,194,60110,0,0,yes
Mercedes-Benz79,"""E""",11,2017,2200,135,184,60143,0,1,yes
Mercedes-Benz80,"""E""",NA,2018,20,143,194,60155,1,0,yes
Mercedes-Benz81,"""GLC""",3,2018,3000,125,170,60160,0,0,yes
Mercedes-Benz82,"""E""",3,2018,3000,0,0,60200,0,0,yes
Mercedes-Benz83,"""C""",NA,2018,0,270,367,60214,1,1,yes
Mercedes-Benz84,"""CLA""",1,2018,3001,280,381,60260,0,1,yes
Mercedes-Benz85,"""GLC""",NA,2018,0,155,211,60291,1,0,yes
Mercedes-Benz86,"""GLC""",10,2017,3100,155,211,60297,0,0,yes
Mercedes-Benz87,"""E""",3,2018,5000,135,184,60300,0,1,yes
Mercedes-Benz88,"""GLE""",6,2017,17946,190,258,69880,0,0,yes
Mercedes-Benz89,"""G""",NA,2018,11,420,571,136969,1,1,yes
Mercedes-Benz90,"""E""",10,2017,12100,190,258,74659,0,0,yes
Mercedes-Benz91,"""S""",NA,2018,0,250,340,126800,1,1,yes
Mercedes-Benz92,"""V""",4,2017,10000,140,190,130900,0,0,yes
Mercedes-Benz93,"""V""",7,2017,14990,140,190,66449,0,0,yes
