"Manufacturer","Model","Price","Ps"
"Mercedes-Benz28","""G""",157989,620
"Mercedes-Benz29","""GT""",111111,476
"Mercedes-Benz32","""S""",151890,469
"Mercedes-Benz35","""AMG""",129000,510
"Mercedes-Benz39","""V""",165000,190
"Mercedes-Benz40","""GT""",124900,630
"Mercedes-Benz43","""GLE""",107770,557
"Mercedes-Benz44","""S""",113705,585
"Mercedes-Benz47","""220""",155000,86
"Mercedes-Benz50","""SLR""",399800,625
"Mercedes-Benz51","""GLC""",127330,510
"Mercedes-Benz53","""S""",230000,455
"Mercedes-Benz57","""S""",113633,455
"Mercedes-Benz58","""519""",278480,190
"Mercedes-Benz61","""SL""",995000,215
"Mercedes-Benz89","""G""",136969,571
"Mercedes-Benz91","""S""",126800,340
"Mercedes-Benz92","""V""",130900,190
"Mercedes-Benz94","""GT""",105885,510
"Mercedes-Benz98","""S""",127940,455
"Mercedes-Benz100","""G""",154700,571
"Mercedes-Benz101","""G""",1100000,630
"Mercedes-Benz103","""S""",137500,455
"Mercedes-Benz104","""S""",134535,367
"Mercedes-Benz109","""SL""",115000,150
"Mercedes-Benz112","""220""",179900,80
"Mercedes-Benz113","""SL""",169000,170
"Mercedes-Benz115","""G""",279850,700
"Mercedes-Benz117","""S""",217770,612
"Mercedes-Benz121","""SL""",185000,105
"Mercedes-Benz128","""G""",147700,571
"Mercedes-Benz131","""SPRINTER""",265000,190
"Mercedes-Benz132","""220SE""",199000,120
"Mercedes-Benz134","""G""",236810,421
"Mercedes-Benz135","""S""",475000,530
"Mercedes-Benz137","""G""",102000,245
"Mercedes-Benz140","""S""",106900,455
"Mercedes-Benz141","""SLS""",399000,591
"Mercedes-Benz146","""G""",149928,571
"Mercedes-Benz153","""G""",139900,571
"Mercedes-Benz159","""E""",109900,571
"Mercedes-Benz170","""AMG""",169000,585
"Mercedes-Benz174","""SL""",131900,585
"Mercedes-Benz175","""S""",111980,455
"Mercedes-Benz176","""G""",121000,421
"Mercedes-Benz177","""SL""",149500,105
"Mercedes-Benz179","""GT""",169960,557
"Mercedes-Benz182","""SLS""",209950,571
"Mercedes-Benz183","""G""",107850,421
"Mercedes-Benz187","""S""",119530,530
"Mercedes-Benz188","""G""",199900,421
"Mercedes-Benz192","""G""",285000,678
"Mercedes-Benz193","""S""",148790,469
"Mercedes-Benz194","""S""",700000,530
"Mercedes-Benz197","""SLS""",330000,591
"Mercedes-Benz199","""GT""",124780,522
"Mercedes-Benz200","""SE""",179000,160
"Mercedes-Benz201","""GT""",169900,557
"Mercedes-Benz202","""G""",1237600,630
"Mercedes-Benz208","""G""",169900,544
"Mercedes-Benz215","""SLR""",2622000,650
"Mercedes-Benz218","""SL""",194900,170
"Mercedes-Benz223","""Brabus""",309000,799
"Mercedes-Benz224","""S""",3000000,630
"Mercedes-Benz226","""SL""",125900,170
"Mercedes-Benz234","""SL""",153000,109
"Mercedes-Benz243","""S""",154850,530
"Mercedes-Benz244","""E""",152320,612
"Mercedes-Benz246","""G""",107750,421
"Mercedes-Benz247","""S""",329900,530
"Mercedes-Benz250","""GLE""",127959,585
"Mercedes-Benz251","""S""",134500,469
"Mercedes-Benz252","""GT""",102750,510
"Mercedes-Benz253","""SLS""",369000,591
"Mercedes-Benz255","""S""",122500,340
"Mercedes-Benz259","""G""",139000,571
"Mercedes-Benz261","""SLS""",189500,571
"Mercedes-Benz265","""GT""",199650,522
"Mercedes-Benz267","""SE""",139000,200
"BMW2","""X6""",114030,381
"BMW29","""540d""",100100,320
"BMW37","""Z8""",275000,381
"BMW40","""M550i""",112250,462
"BMW51","""M5""",170000,600
"BMW56","""BMW""",119950,235
"BMW60","""M760""",131900,609
"BMW83","""750i""",109500,449
"BMW86","""750Li""",108000,449
"BMW99","""750""",110914,449
"BMW103","""750Li""",109000,449
"BMW105","""750i""",106440,449
"BMW118","""M5""",158000,600
"BMW120","""Z8""",275000,381
"BMW127","""X6""",165000,575
"BMW145","""X6""",151075,575
"BMW198","""540i""",100480,340
"BMW199","""M5""",153510,600
"BMW217","""M550i""",119450,462
"BMW225","""X5""",103950,575
"BMW244","""Z8""",249900,400
"BMW246","""3200""",129115,160
